# name	kind	hex
device_id	context	11111111111111111111111111111111
incarnation	context	a402030405060708090a0b0c0d0e0f10
final.hello	command	01010100
final.hello	response	0001010011111111111111111111111111111111a402030405060708090a0b0c0d0e0f1001000000010000020001
final.list	command	01020200010000000000
final.list	response	00020200010000000000415552330302010011111111111111111111111111111111ff88b7f46b5c9f419b3f35d0515d8fa5803e000040012800007d00000103000000000000000000001f4ee31e0200
final.select	command	01030300ff88b7f46b5c9f419b3f35d0515d8fa5
final.select	response	0003030001000000415552330302010011111111111111111111111111111111ff88b7f46b5c9f419b3f35d0515d8fa5803e000040012800007d00000103000000000000000000001f4ee31e41434b33030111111111111111111111111111111111ff88b7f46b5c9f419b3f35d0515d8fa57b010000766900000000000080d80100000000005c35876055bbd28894a2294cf704da293442c88385f94ee70fae891ca434e54afc37c3f7b090000000000000b090000000000000002a00000000000000
final.select	fragment23	010003000000c300000303000100000041555233
final.select	fragment23	010003000c00c300030201001111111111111111
final.select	fragment23	010003001800c3001111111111111111ff88b7f4
final.select	fragment23	010003002400c3006b5c9f419b3f35d0515d8fa5
final.select	fragment23	010003003000c300803e000040012800007d0000
final.select	fragment23	010003003c00c300010300000000000000000000
final.select	fragment23	010003004800c3001f4ee31e41434b3303011111
final.select	fragment23	010003005400c300111111111111111111111111
final.select	fragment23	010003006000c3001111ff88b7f46b5c9f419b3f
final.select	fragment23	010003006c00c30035d0515d8fa57b0100007669
final.select	fragment23	010003007800c30000000000000080d801000000
final.select	fragment23	010003008400c30000005c35876055bbd28894a2
final.select	fragment23	010003009000c300294cf704da293442c88385f9
final.select	fragment23	010003009c00c3004ee70fae891ca434e54afc37
final.select	fragment23	01000300a800c300c3f7b090000000000000b090
final.select	fragment23	01000300b400c300000000000000002a00000000
final.select	fragment23	01000300c000c300000000
final.select	fragment517	010003000000c3000003030001000000415552330302010011111111111111111111111111111111ff88b7f46b5c9f419b3f35d0515d8fa5803e000040012800007d00000103000000000000000000001f4ee31e41434b33030111111111111111111111111111111111ff88b7f46b5c9f419b3f35d0515d8fa57b010000766900000000000080d80100000000005c35876055bbd28894a2294cf704da293442c88385f94ee70fae891ca434e54afc37c3f7b090000000000000b090000000000000002a00000000000000
final.read	command	010404000100000000000000000000008000
final.read	response	000404000100000000000000000000006100415552330302010011111111111111111111111111111111ff88b7f46b5c9f419b3f35d0515d8fa5803e000040012800007d00000103000000000000000000001f4ee31e41465233030100000000000000000000000040010300b8fffea27c5444b7206c50
final.finish	command	01052f0101000000b090000000000000
final.finish	response	00052f010100000041434b33030111111111111111111111111111111111ff88b7f46b5c9f419b3f35d0515d8fa57b010000766900000000000080d80100000000005c35876055bbd28894a2294cf704da293442c88385f94ee70fae891ca434e54afc37c3f7b090000000000000002a00000000000000
final.read-eof	command	0104300101000000b0900000000000000001
final.read-eof	response	0004300101000000b090000000000000000000000000
final.cancel	command	0106310101000000
final.cancel	response	0006310101000000
open.hello	command	01010100
open.hello	response	0001010011111111111111111111111111111111a402030405060708090a0b0c0d0e0f1001000000010000020001
open.list	command	01020200010000000000
open.list	response	0002020001000000000041555233030201001111111111111111111111111111111124d4008368e06638e90b89d68d221fbd803e000040012800007d0000010300000000000000000000a096855f0100
open.select	command	0103030024d4008368e06638e90b89d68d221fbd
open.select	response	000303000100000041555233030201001111111111111111111111111111111124d4008368e06638e90b89d68d221fbd803e000040012800007d0000010300000000000000000000a096855f41434b3303001111111111111111111111111111111124d4008368e06638e90b89d68d221fbd6d0100004c6900000000000000c7010000000000001cb88da352f158b76facb54b37721b99c248a9dc1d22538332a026668bf1355ca2e414a28e0000000000001a8f000000000000012b00000000000000
open.select	fragment23	010003000000c300000303000100000041555233
open.select	fragment23	010003000c00c300030201001111111111111111
open.select	fragment23	010003001800c300111111111111111124d40083
open.select	fragment23	010003002400c30068e06638e90b89d68d221fbd
open.select	fragment23	010003003000c300803e000040012800007d0000
open.select	fragment23	010003003c00c300010300000000000000000000
open.select	fragment23	010003004800c300a096855f41434b3303001111
open.select	fragment23	010003005400c300111111111111111111111111
open.select	fragment23	010003006000c300111124d4008368e06638e90b
open.select	fragment23	010003006c00c30089d68d221fbd6d0100004c69
open.select	fragment23	010003007800c30000000000000000c701000000
open.select	fragment23	010003008400c3000000001cb88da352f158b76f
